id,first_name,last_name,email,phone,country,city,postcode,is_active,customer_tier,total_spent,has_newsletter,created_at,updated_at
21,Monica,Garrison,jamessellers@example.com,733-203-6541x4586,Spain,Barcelona,40996,True,new,28.56,True,2024-06-18 16:35:27,
22,Darrell,Waller,beverlyterrell@example.org,896-555-6981,United States,Austin,95649,True,new,9.09,False,2021-11-02 18:34:06,
23,Jonathan,Fletcher,meyerlindsay@example.net,001-735-861-5951x484,Spain,Barcelona,37648,True,new,41.78,True,2022-07-25 01:51:35,
24,Heidi,Spencer,robertbentley@example.net,001-729-994-6804x436,United Kingdom,London,X9 1CH,True,loyal,4954.52,True,2022-06-01 17:03:18,
25,Scott,Lowe,yleon@example.net,(514)589-5134,United States,Houston,44760,True,new,42.79,False,2024-11-14 15:52:59,
26,Dylan,Williams,xcarr@example.org,569.436.7632x016,Spain,Barcelona,22445,True,casual,513.63,True,2023-07-11 20:08:21,
27,Linda,Dominguez,pwilliams@example.org,927.488.9579x868,United States,Seattle,72493,True,new,137.91,False,2025-04-12 07:14:30,
28,Julia,Wells,karen48@example.com,+1-434-571-4345x5812,United Kingdom,Edinburgh,C4 7DV,True,loyal,6420.81,True,2023-02-04 23:08:49,
29,Patrick,Hernandez,calebrussell@example.net,760.636.6909x670,Canada,Montreal,J5K 4R2,False,casual,968.73,False,2023-07-22 01:24:12,
30,Karen,Castaneda,vmedina@example.net,+1-937-434-6706x562,United Kingdom,London,U4 9JE,True,casual,1773.64,False,2023-12-21 07:59:05,
31,Tina,Ferguson,qvargas@example.org,562-972-0465,Australia,Adelaide,8611,True,loyal,7176.84,True,2021-01-25 07:19:59,
32,Mark,Juarez,aramirez@example.com,270-580-5310,Australia,Sydney,9288,True,loyal,7810.54,True,2021-11-29 13:10:50,
33,James,Smith,johnwells@example.org,001-437-645-2991,Australia,Adelaide,6002,True,new,135.8,False,2023-02-20 04:57:27,
34,Daniel,Johnson,barbara66@example.net,219.731.4919,United States,Chicago,27146,True,new,24.24,False,2023-03-25 20:48:01,
35,Amanda,Stanley,huntermatthew@example.com,916.857.2628x4987,France,Bordeaux,14722,True,new,87.38,True,2024-02-22 02:44:21,
36,Margaret,Vargas,melissa14@example.com,479.996.5075,United States,Chicago,37535,True,loyal,7168.93,True,2023-02-15 06:17:08,
37,Jason,Salinas,joshua94@example.net,9839136783,France,Lyon,31299,True,vip,53833.64,True,2022-07-05 01:58:53,
38,Shane,Smith,jeffrey34@example.net,001-757-988-5685,Germany,Hamburg,30866,True,loyal,4751.6,True,2021-12-02 20:11:38,
39,Joseph,King,griffithleslie@example.net,+1-623-337-4989,Canada,Montreal,K3A 3R5,True,loyal,8847.0,False,2023-05-16 14:08:58,
40,Marissa,Phillips,harry08@example.org,900-984-2710x947,Canada,Toronto,E4H 9L0,True,new,89.49,False,2021-12-03 19:04:47,
41,Matthew,Sheppard,shelley71@example.org,(871)590-2294x1318,United Kingdom,Glasgow,V4 5BP,True,vip,35035.86,False,2021-01-06 06:06:38,
42,Kimberly,James,levans@example.com,399-409-1334x1232,Germany,Hamburg,66531,True,casual,1902.86,False,2021-08-06 09:37:30,
43,Aaron,Hayes,ocarter@example.com,001-447-613-4936x183,Australia,Adelaide,4533,True,new,48.93,False,2024-06-22 19:58:57,
44,Margaret,Jones,lauralarson@example.net,271-874-6488x7719,Netherlands,Rotterdam,5930 NU,True,casual,677.36,True,2021-01-02 06:16:08,
45,Jessica,Munoz,davissuzanne@example.net,001-604-490-2787,Spain,Seville,24005,True,new,70.98,False,2025-05-08 03:53:44,
46,Wendy,Graham,ecosta@example.com,(755)612-5674x68071,Canada,Toronto,K4K 3G0,True,new,36.73,False,2021-05-24 13:56:41,
47,Marcus,Cordova,ahancock@example.net,+1-976-203-8597,Germany,Stuttgart,60328,True,new,59.95,True,2025-03-16 23:26:01,
48,James,Dunn,samuel71@example.org,+1-393-424-8086x1317,United Kingdom,Glasgow,H3 9RB,True,loyal,9298.5,True,2023-02-14 05:34:12,
49,Tyrone,Moran,robert77@example.org,682.263.9821x465,Canada,Calgary,X6Y 7H7,True,new,38.88,True,2024-10-30 07:38:01,
50,Justin,Evans,cgrimes@example.net,855.288.6753x3963,Germany,Hamburg,67654,True,new,107.03,True,2021-08-29 17:34:39,
51,Louis,Kennedy,qhughes@example.net,(370)928-9517,France,Lyon,60205,True,new,105.96,True,2022-04-20 17:59:10,
52,Alexis,Thomas,charlesharrington@example.com,696-515-8657x80913,Germany,Frankfurt,61049,False,new,128.51,False,2021-03-02 16:24:28,
53,Julie,Hamilton,hodgesjane@example.org,524.800.5045x562,Netherlands,Utrecht,9818 UW,True,new,73.23,True,2022-11-17 04:33:24,
54,Ashlee,Sparks,gregorylynch@example.com,+1-637-492-3747x407,Netherlands,Rotterdam,8657 EW,True,casual,1823.16,True,2021-03-25 18:45:51,
55,Charles,Landry,danielle64@example.com,836-671-3695x9440,Spain,Barcelona,13295,True,new,56.87,True,2023-03-20 06:39:38,
56,Alan,Grimes,lozanojulie@example.com,001-739-453-3942x104,Netherlands,The Hague,2341 SA,True,new,149.99,False,2021-06-11 19:47:02,
57,Christopher,Phillips,ithompson@example.net,(488)542-4745x171,United States,Los Angeles,36130,True,casual,1280.54,True,2021-03-05 07:38:39,
58,Michelle,Ramsey,zcoffey@example.net,(716)304-8175x496,Spain,Valencia,34175,True,loyal,6650.09,False,2022-06-06 07:15:55,
59,Emily,Ruiz,rose31@example.net,446.812.0047x113,Australia,Sydney,6740,True,new,139.33,False,2021-03-21 18:43:18,
60,Shawn,Santiago,umatthews@example.org,(717)796-4053x77351,Germany,Berlin,87607,True,loyal,2366.16,False,2023-01-25 12:09:45,
61,Bruce,Hill,rushmadison@example.org,+1-539-500-5329x3183,United States,Chicago,79827,False,new,99.23,True,2024-08-23 22:10:46,
62,Mark,Hernandez,ramireztracey@example.org,+1-742-210-2053,Spain,Madrid,38411,True,new,95.34,False,2024-01-31 06:41:50,
63,Grant,Williams,vfox@example.org,975.289.1783x9084,Australia,Adelaide,8620,True,casual,983.26,False,2025-02-11 04:11:13,
64,Bruce,Mendoza,gsimmons@example.com,001-771-815-9212x499,United Kingdom,Birmingham,R4 8VW,True,new,50.46,False,2024-03-23 11:29:26,
65,Virginia,Schmidt,bwagner@example.org,001-318-736-7365x766,Australia,Brisbane,4290,True,new,83.37,False,2023-05-09 08:04:41,
66,Ronald,Ortega,stephanie71@example.org,716-315-2809,Germany,Stuttgart,72402,True,new,67.23,True,2025-03-05 22:17:28,
67,Robert,Russo,uparrish@example.org,794-351-9832x7315,Canada,Calgary,Y8P 6Y5,True,new,105.43,True,2023-12-30 00:53:38,
68,Kathryn,Andrews,xbruce@example.net,+1-480-494-0244x550,United Kingdom,Bristol,U3 4GS,True,new,108.69,False,2023-05-10 01:18:23,
69,Ashley,Morales,joycebonilla@example.org,001-383-266-7525x459,Germany,Hamburg,39816,True,new,26.92,True,2024-01-27 05:14:34,
70,Eric,Webster,craigjoseph@example.net,(979)676-4381x56149,Australia,Melbourne,7225,True,vip,13334.56,True,2025-03-06 02:34:07,
71,Brandon,Foster,smithkevin@example.org,001-724-345-1076x226,United States,Chicago,72616,True,new,123.32,False,2021-12-21 10:57:12,
72,Randy,Harmon,esmith@example.com,001-769-466-4160,France,Bordeaux,49824,True,new,149.09,True,2021-09-22 15:32:54,
73,Laurie,Montgomery,christopher13@example.com,001-468-316-4535,Germany,Cologne,59856,True,casual,1826.16,True,2024-10-31 16:47:34,
74,William,Wilson,rebeccabailey@example.net,+1-923-912-4329x2127,United States,Seattle,23006,True,casual,1288.48,True,2022-10-08 13:47:20,
75,Erin,Macias,michelle52@example.com,,France,Paris,63545,True,casual,1409.81,True,2024-10-31 15:59:26,
76,Carlos,Ramos,laura90@example.com,814.977.0054x11998,Spain,Madrid,25297,True,new,118.17,False,2023-04-02 22:37:21,
77,Betty,Best,colelisa@example.net,759.378.2071,Germany,Stuttgart,29528,True,new,123.99,True,2023-04-06 06:59:33,
78,William,Thompson,jasmineritter@example.net,392.855.4665x90515,Australia,Perth,3018,True,casual,1408.49,False,2024-12-27 04:39:12,
79,Justin,Cummings,mathewaguilar@example.org,(346)829-1486x528,United Kingdom,Edinburgh,B7 6WJ,True,new,13.7,False,2021-03-22 08:37:35,
80,William,Smith,henry35@example.com,232.721.4188,Australia,Adelaide,2329,True,vip,32466.04,False,2022-06-29 07:10:03,
81,Nancy,Williamson,lmoore@example.net,001-592-670-6537x947,Spain,Madrid,40802,True,casual,875.86,True,2023-12-18 01:51:25,
82,Tammy,Mueller,michealvalentine@example.com,946.788.6239x240,Spain,Valencia,36244,True,new,68.22,False,2021-04-25 00:20:11,
83,Angela,Garcia,mitchellkathryn@example.com,782.561.3750x606,United States,Austin,81118,True,new,61.99,True,2024-12-06 07:27:11,
84,Paul,Miller,anthonygalvan@example.net,+1-252-620-4727x7901,United States,Los Angeles,45003,True,casual,1862.58,True,2022-02-12 01:03:15,
85,Jason,Hernandez,srodriguez@example.org,510-436-9711x7980,Germany,Stuttgart,30758,True,vip,36643.63,True,2023-08-24 11:12:35,
86,Kelly,Smith,john62@example.net,+1-818-751-8888x8067,Spain,Madrid,52448,True,loyal,5736.19,False,2022-04-24 08:55:08,
87,Jon,Smith,cooperjessica@example.net,995-920-5852,Spain,Barcelona,39935,True,loyal,4760.48,False,2022-03-26 09:17:12,
88,Crystal,Cain,baldwinsherry@example.org,530-630-5486x8740,Australia,Perth,4784,True,loyal,3770.97,True,2025-04-27 11:39:55,
89,Michael,Norman,joshua56@example.com,001-876-452-7758x416,Spain,Barcelona,39264,True,casual,755.74,True,2025-02-13 19:06:41,
90,Amy,Morris,murphykenneth@example.com,,Germany,Stuttgart,41300,True,new,35.03,False,2024-04-04 20:22:34,
91,Carrie,Simmons,cbell@example.net,(996)240-1658x202,Netherlands,Utrecht,3492 SB,True,casual,1054.35,True,2022-01-28 05:36:14,
92,David,Young,michael90@example.net,(775)857-1928,Spain,Madrid,19447,True,new,130.64,False,2024-06-27 18:13:16,
93,Leonard,Ramirez,johnsonjacob@example.net,(381)944-7394x7312,Netherlands,Amsterdam,6383 YU,True,new,143.12,False,2024-03-26 15:33:15,
94,Gerald,Reeves,cochrantammy@example.com,+1-451-588-4422x5831,United Kingdom,Manchester,X5 4CP,True,new,114.06,False,2021-11-02 20:27:04,
95,Kristy,Johnson,tanner82@example.net,314-467-8669,United States,New York,52516,True,new,44.01,False,2021-06-24 08:33:10,
96,Teresa,Day,howens@example.com,(489)622-6801,France,Lyon,32946,True,casual,1258.03,True,2021-09-03 08:18:24,
97,Fred,Morris,michaeleverett@example.com,343-484-2498,Germany,Frankfurt,93611,True,casual,973.18,False,2023-03-01 01:55:23,
98,Brittany,Carpenter,donnale@example.net,690-601-0943x96907,France,Paris,67898,True,new,148.15,True,2023-12-10 15:14:24,
99,Timothy,Ballard,eevans@example.net,4277677359,Australia,Melbourne,5151,True,new,16.0,False,2025-02-10 06:36:16,
100,Michelle,Flores,theresa25@example.net,+1-415-337-1473,United States,Boston,96275,True,casual,621.51,True,2024-05-14 17:24:55,
101,Brent,Dougherty,kwright@example.com,001-953-227-8774,Spain,Valencia,25081,True,new,32.85,True,2023-12-31 14:57:16,
102,Christopher,Long,nlevy@example.net,(400)647-9748x016,France,Lille,22735,True,casual,686.97,True,2021-05-03 11:33:37,
103,Jessica,Gallagher,brandon09@example.net,658.341.6878,Australia,Brisbane,8123,True,new,26.35,True,2024-07-14 22:09:22,
104,David,Davis,laura58@example.com,001-923-498-6800x025,Australia,Melbourne,4105,True,new,145.11,True,2025-02-06 01:10:41,
105,Catherine,Robertson,sarah52@example.com,+1-749-758-8879x470,United Kingdom,Manchester,H7 9MC,True,new,2.09,False,2024-05-10 21:36:42,
106,Emily,Whitney,laura09@example.com,599-230-9728x962,Netherlands,The Hague,2775 YH,True,casual,147.55,False,2025-01-04 19:51:48,
107,Ashley,Graves,andrewedwards@example.org,(836)789-7028x38578,United Kingdom,Bristol,R5 7DE,True,new,141.94,False,2021-05-21 21:18:11,
108,Sue,Stevens,amy49@example.com,934.784.3443,France,Toulouse,69459,True,loyal,7199.13,False,2024-02-27 16:37:25,
109,Timothy,Castro,keith98@example.com,(652)640-4157x4733,France,Toulouse,95841,True,casual,1684.02,False,2021-11-04 15:35:17,
110,Derrick,Gilbert,johnsantiago@example.net,230.416.5712,Germany,Frankfurt,68287,True,casual,1725.36,True,2023-01-04 13:50:03,
111,Richard,Donovan,mwoods@example.com,,Canada,Toronto,R4J 1T1,True,vip,41368.63,True,2022-10-21 23:45:21,
112,Manuel,Brewer,pearsonjesse@example.net,001-302-762-0672x400,France,Bordeaux,36896,True,new,124.47,False,2021-08-02 03:56:37,
113,Justin,Hays,ismall@example.net,543.415.2742x054,France,Bordeaux,10371,True,new,128.76,True,2023-05-12 11:06:39,
114,Cheryl,Fowler,gwilcox@example.com,661-822-7530,United States,Los Angeles,11947,True,new,118.5,True,2024-01-19 00:28:48,
115,Joe,Molina,kevin90@example.com,+1-753-501-7426x8414,Netherlands,Eindhoven,2862 CS,True,new,116.7,False,2024-10-24 17:49:21,
116,Jeffrey,Anderson,spencerzhang@example.com,(387)283-3918x78519,United States,Austin,96363,True,loyal,5393.36,False,2023-07-27 03:11:15,
117,Maria,Leach,ashleyhernandez@example.com,971.239.7187x07286,United Kingdom,Glasgow,R2 2LW,True,new,9.85,True,2022-04-06 20:34:19,
118,Angelica,Chambers,jennifer64@example.org,001-639-810-6518x017,Australia,Perth,6141,True,new,14.88,False,2024-08-29 13:59:12,
119,Hector,Taylor,ybrooks@example.com,(261)282-5128x6823,Germany,Frankfurt,69186,True,casual,886.25,False,2022-12-11 21:42:57,
120,Tiffany,Ford,opatel@example.org,352.343.1069x033,Canada,Montreal,P2V 1C1,True,new,64.78,False,2021-10-17 15:44:24,
121,Brittney,Griffin,sanchezbradley@example.com,783.702.8439,Canada,Toronto,S5S 0M9,True,new,52.75,False,2023-08-29 17:52:43,
122,Joel,Walter,roberthill@example.net,001-726-887-0568,United Kingdom,Birmingham,U6 2JV,True,new,121.08,False,2022-12-04 15:38:39,
123,Ricky,Evans,karenwells@example.org,527-708-6688x2634,United States,Seattle,96223,True,casual,155.01,True,2023-04-11 22:20:52,
124,Deborah,Nielsen,christopher30@example.com,(299)501-3983x7354,France,Lyon,84228,True,new,10.44,False,2024-05-30 04:38:49,
125,Sharon,Hayden,burgesskaren@example.org,001-693-663-8546x785,Netherlands,Utrecht,8432 LF,True,new,46.75,False,2024-02-24 17:09:30,
126,Michael,Andrade,ugarcia@example.com,001-853-655-6093x204,France,Lyon,90981,True,loyal,7228.73,True,2021-06-04 14:33:36,
127,Elijah,Rivera,phudson@example.com,+1-454-977-7252,Australia,Melbourne,8184,True,new,17.07,False,2025-05-11 19:18:35,
128,Jack,Preston,warrenmary@example.org,+1-900-962-3120x3875,Australia,Sydney,3806,True,new,147.67,True,2024-05-13 00:58:28,
129,Alfred,Patel,hsmith@example.net,584-608-6211x823,Australia,Brisbane,4687,True,casual,114.69,False,2022-01-08 18:40:53,
130,Lisa,Adams,zmiller@example.com,001-833-941-0166,Canada,Toronto,R0S 0T1,True,casual,1193.94,True,2023-08-31 15:29:32,
131,Brian,Smith,christopherbruce@example.net,291-480-3397x40148,United States,Chicago,32527,True,new,124.8,False,2024-11-30 11:18:40,
132,Sarah,Edwards,brendagoodwin@example.net,(714)229-3968x5621,Netherlands,Eindhoven,2288 NK,True,new,33.24,False,2023-11-21 19:56:43,
133,Connor,Hall,petersonkayla@example.net,(850)347-7358x6629,Germany,Hamburg,56019,True,new,35.44,True,2022-04-04 20:33:08,
134,Kelsey,Phillips,jennifermiller@example.org,(426)355-1104x7541,United Kingdom,Manchester,X8 8VV,True,casual,1394.15,False,2024-10-26 16:48:07,
135,Jacob,Cole,fgarcia@example.com,+1-819-395-6046,Canada,Vancouver,T1V 7M4,True,new,52.79,True,2021-06-24 12:29:48,
136,Jenny,Hansen,ashleyjackson@example.com,(824)644-7212,Australia,Sydney,7281,True,new,92.25,False,2021-10-08 12:59:43,
137,Robert,Washington,wardsheryl@example.net,+1-879-793-7124x0659,United States,Houston,84928,True,casual,710.9,True,2022-08-08 20:09:07,
138,Scott,Jordan,kevinmorrison@example.net,575.726.5479,Canada,Toronto,X2B 3T7,True,new,54.58,False,2022-05-09 04:58:31,
139,Nicholas,Velasquez,kdiaz@example.org,001-382-880-7374,United States,Boston,92691,True,casual,225.23,True,2023-11-06 17:15:50,
140,Emily,Taylor,john26@example.com,279-779-6886,France,Marseille,20682,True,casual,1841.82,True,2022-03-16 09:39:51,
141,Jacqueline,Burnett,rodriguezjohn@example.net,(529)509-6561x014,United Kingdom,Birmingham,U7 6EY,True,new,96.9,False,2021-10-18 08:21:29,
142,Sean,Myers,michaeljohnson@example.org,961-312-5457x3875,Germany,Hamburg,73736,True,new,33.98,True,2022-08-20 12:56:52,
143,Samuel,Horton,carlos01@example.org,412-438-2825x86736,United States,Austin,54140,True,new,89.59,True,2022-02-12 03:43:29,
144,Danielle,Reynolds,mclaughlinnicole@example.com,001-366-403-3419,France,Lille,67366,True,casual,880.63,False,2021-05-16 17:56:37,
145,Michael,Gonzalez,bakermichelle@example.net,+1-659-369-6915x5792,Spain,Barcelona,44996,True,new,46.42,False,2023-01-14 01:41:44,
146,Emily,Edwards,kevinwhite@example.net,(486)969-2966,Spain,Seville,28466,True,new,75.44,False,2024-04-01 10:28:21,
147,Cynthia,Steele,angelaburns@example.org,(557)890-5072,Australia,Sydney,7252,True,casual,1760.82,True,2025-02-02 03:26:11,
148,Tamara,Wagner,fortiz@example.com,001-677-421-9034x043,Australia,Sydney,8251,True,loyal,3818.73,False,2022-05-14 01:45:15,
149,Kimberly,Cunningham,hdunn@example.net,848-358-0783,Germany,Frankfurt,55820,True,loyal,5026.62,True,2021-03-24 20:40:25,
150,Jill,Valdez,kennethkidd@example.com,451-571-3395x962,Germany,Berlin,51770,True,new,125.88,False,2021-11-04 20:10:23,
151,Lisa,Trujillo,amanda98@example.org,,Spain,Barcelona,40743,True,new,92.3,False,2024-10-25 18:09:01,
152,Mario,Padilla,ashley81@example.org,001-660-842-2325x367,Netherlands,Amsterdam,5720 HK,True,new,7.16,False,2022-01-14 13:40:16,
153,Nicholas,Jones,powellkara@example.net,(577)859-0175x186,Spain,Bilbao,45130,True,new,94.79,False,2021-02-21 01:30:30,
154,Mallory,Simpson,maria58@example.net,,Canada,Vancouver,S2C 8P1,True,new,117.96,False,2025-04-26 05:05:41,
155,David,Phelps,patricia00@example.org,+1-670-312-7706x3242,Netherlands,The Hague,5155 AM,True,new,51.72,False,2021-07-29 21:36:20,
156,Diamond,Wright,elizabeth20@example.com,+1-943-261-1037x1293,Canada,Vancouver,B5Y 5H7,True,casual,1300.3,False,2025-01-26 17:52:13,
157,Alan,Cooper,mcneilrobert@example.org,413.361.1155x4262,Australia,Melbourne,2358,True,new,132.87,False,2022-09-12 17:32:55,
158,Alyssa,Smith,scottbowen@example.net,,Spain,Valencia,12399,True,loyal,3931.94,False,2022-08-17 17:42:17,
159,Kaitlin,Gillespie,fheath@example.org,(619)365-6523,Canada,Calgary,R7R 5H7,True,new,55.1,False,2025-03-26 18:01:58,
160,John,Burke,kimberly04@example.org,398.236.4037x61379,Netherlands,Eindhoven,3956 UK,True,new,15.39,False,2023-09-25 23:15:37,
161,Valerie,Peck,paulcombs@example.com,(282)871-0910x430,France,Lille,68183,True,casual,949.55,False,2023-12-29 05:14:35,
162,William,Fuller,zhenderson@example.org,+1-788-892-4141x8328,United States,New York,97973,True,new,54.5,False,2024-06-16 01:13:48,
163,Brenda,Hines,collinssamuel@example.org,6314617990,Spain,Madrid,18272,True,new,35.4,False,2021-07-28 21:16:58,
164,David,Zimmerman,martinstephanie@example.net,342.952.4105x64814,France,Lille,68972,True,new,55.8,False,2024-02-27 13:07:07,
165,Spencer,Ward,kvillarreal@example.com,(241)591-3800,Australia,Melbourne,9868,True,new,3.89,True,2021-12-19 11:20:31,
166,Brandon,Cox,haroldhorne@example.org,+1-763-353-6541,Australia,Perth,3757,True,new,104.1,False,2023-06-07 06:09:18,
167,Wayne,Winters,jeffreyblack@example.org,(617)544-5187x0534,France,Lille,68341,True,new,121.58,False,2021-09-30 18:09:06,
168,Steven,Vargas,xcuevas@example.org,001-883-620-6038x505,Australia,Brisbane,8974,True,casual,1452.44,False,2022-05-05 08:26:32,
169,Dalton,Moreno,robertwoodward@example.org,001-441-803-8657x191,United Kingdom,Manchester,E4 8AM,True,new,70.11,False,2024-02-21 04:00:37,
170,Charles,Bradley,ibates@example.org,345-465-5743x1329,Netherlands,Utrecht,9612 PP,True,new,18.8,False,2021-08-18 03:15:06,
171,Daniel,Cole,richard85@example.org,447.341.1249x035,France,Bordeaux,93859,True,new,115.17,True,2022-07-20 08:09:17,
172,Jennifer,Schmitt,rpalmer@example.com,320-267-8831x712,France,Marseille,31581,True,loyal,4242.62,False,2022-05-19 05:07:55,
173,Bryan,Norman,davidcolon@example.com,+1-219-994-1013x7215,United Kingdom,Birmingham,G9 5EX,True,loyal,6722.64,True,2023-07-30 20:14:20,
174,Brent,Glass,zunderwood@example.com,9664253244,France,Lille,91851,False,casual,1700.81,True,2023-11-15 22:44:27,
175,Austin,Harvey,deborahporter@example.net,701.946.2638x3806,Australia,Melbourne,8282,True,new,92.72,True,2024-07-18 06:57:42,
176,Amy,Washington,paul20@example.com,+1-530-540-7859x321,Australia,Perth,4006,True,casual,665.12,True,2024-06-15 16:27:12,
177,Joseph,Velasquez,gallagherstacie@example.net,(452)523-9559x0599,Germany,Hamburg,89516,True,new,46.89,False,2022-03-23 08:42:50,
178,Mary,Cochran,lweaver@example.com,2107393087,France,Marseille,77499,True,vip,24594.03,True,2021-11-26 21:38:53,
179,Samantha,Harris,matthewthompson@example.com,7028921851,Australia,Perth,9079,True,new,37.24,False,2024-07-23 02:23:10,
180,Brenda,Rogers,derek26@example.net,452.289.5392x6442,Canada,Vancouver,H7X 7V4,True,casual,144.03,False,2025-03-26 06:36:56,
181,Stacy,Fry,xrosales@example.net,4297593917,Canada,Toronto,B4V 9V4,True,new,127.08,False,2021-01-26 09:45:04,
182,Julie,Young,gary15@example.com,2438315410,Canada,Toronto,R0Y 3P8,True,casual,239.71,True,2023-06-16 15:42:09,
183,Samuel,Barnes,nicolesnyder@example.com,(286)717-9327x104,United Kingdom,Manchester,D7 6LU,True,vip,47258.19,True,2024-02-10 21:35:13,
184,Jose,Garcia,george62@example.net,481-859-9706,France,Lille,53652,True,new,77.9,True,2025-01-11 20:55:27,
185,Eric,Garcia,terriortiz@example.net,001-284-744-3106x987,Canada,Vancouver,R9M 9N8,True,loyal,6024.89,False,2025-05-03 15:02:16,
186,Adam,Miller,bgonzalez@example.org,(641)371-4677,United Kingdom,Glasgow,V5 1WS,True,new,145.06,False,2023-04-05 23:23:02,
187,Darlene,Hughes,nicole52@example.com,,Spain,Barcelona,44356,True,casual,380.77,False,2024-03-27 05:02:46,
188,Bradley,Gonzales,jeremy49@example.org,(211)858-6938,United States,Houston,51116,True,new,22.71,False,2024-07-25 02:31:20,
189,Loretta,Barnes,parmstrong@example.com,416-508-9899x2172,United States,Austin,28098,True,loyal,3262.4,True,2025-05-31 11:49:24,
190,Lindsey,Martinez,rmiller@example.com,829.745.1168,France,Toulouse,79878,True,new,81.94,False,2023-11-30 13:45:08,
191,Melissa,Stone,buchanancindy@example.net,(716)822-9991x19148,Australia,Adelaide,5966,True,loyal,9637.37,True,2022-08-21 08:15:19,
192,Joseph,Pena,rjohnson@example.com,(999)660-6530,Australia,Melbourne,7654,True,vip,24486.12,True,2025-02-28 06:42:45,
193,Penny,Smith,larry71@example.org,(947)554-6913,United Kingdom,Edinburgh,Y9 7NM,True,new,43.57,True,2022-04-01 02:03:05,
194,Robin,Russell,xmalone@example.org,521.248.6289x02330,Australia,Perth,3752,True,new,124.19,True,2022-09-20 19:16:56,
195,Stephen,Hull,joshuacolon@example.net,(710)435-7972x7985,Germany,Munich,16653,True,new,95.69,True,2022-12-03 03:17:51,
196,Mary,Green,mitchellpaul@example.org,001-233-933-4680,France,Paris,82135,True,new,61.04,False,2022-05-06 16:56:25,
197,Rhonda,Holland,walkercharlene@example.com,001-846-365-7437x489,Australia,Brisbane,4338,True,new,136.19,True,2021-07-03 19:28:55,
198,Adrian,Key,anna99@example.com,517-215-4544x4328,United States,Los Angeles,64773,True,casual,1874.45,True,2022-07-01 03:45:20,
199,Linda,Lang,rguerrero@example.org,001-507-944-6660x993,Australia,Sydney,2075,True,new,85.19,True,2023-07-17 01:44:09,
200,Rebecca,Powers,megan82@example.com,772-548-2513,Spain,Barcelona,43044,True,vip,22187.53,False,2024-12-25 02:09:29,
201,Julie,Parker,nathan94@example.com,370-899-9173,France,Paris,54185,True,casual,1178.78,False,2023-07-06 14:36:10,
